标题,发布时间,品种,内容
浙江省磐安县今日逢集，浙贝母行情暂稳,2025-12-24 13:54,浙贝母,"【天地网讯】

浙江省金华市磐安县今日逢集，浙贝母货源上市量大一般，农户手中货源不丰，一般小统货收购价160元每公斤，农户对未来行情持续看好，行情暂时稳定，主流货成交价162元每公斤，后市持续向好，后续持续关注。（信息由浙江省金华市磐安县商家周先生18858942548提供）"
浙江磐安浙八味市场覆盆子走动平稳,2025-12-24 13:53,覆盆子,"【天地网讯】

浙江磐安浙八味市场覆盆子交易日，今日市场整体交易氛围平稳，货源走动以正常需求为主，主流成交价在80元/公斤 左右，符合药典标准、可提供全项检验报告的优质覆盆子，报价维持在110元/公斤左右。（本快讯由浙江四云堂药业有限公司提供18267994685）"
甘肃岷县 当归新货零星上市价格低迷,2025-12-24 13:53,当归,"【天地网讯】

今日，岷县中国当归城市场：当归新货零星上市，干度多为七八成干，新旧货比例1：9成，交易在低谷期平稳运行，药厂货31元/公斤左右，小条38元/公斤左右，中条45元/公斤左右，大条52元/公斤左右，特大条60元/公斤左右；当归头片95一200元/公斤，全归片45一58元/公斤，枯子片64元/公斤左右，箱归半成品多在60一78元/公斤之间徘徊，黄货62一83元/公斤，佛手片（芯片）68一86元/公斤，采购者多以本地加工户为主，外地采购商较少。（此信息由西岭源合作社18219820026<微信同号>提供）。"
浙江磐安“浙八味”药材市场浙贝母交易日行情信息,2025-12-24 13:52,浙贝母,"【天地网讯】

日期： 2025年12月24日（星期三）今日市场交易氛围持续活跃，整体货源走动顺畅。浙贝母作为磐安道地药材的代表品种之一，行情表现坚挺，市场关注度集中。主流成交价： 行情主流成交价格依旧稳定在 160元/公斤 左右。无硫好的统货个子，市场主流报价在 95元/公斤 左右。 该价位已延续一段时间，反映出供需双方对当前价格的认可，市场交易以实销为主。本快讯由（浙江四云堂药业有限公司提供18267994685）"
云南省玉溪市江川县龙胆草苗正在加工之中,2025-12-24 13:32,龙胆,"【天地网讯】

云南省玉溪市江川县龙胆草苗加工户一般年前加工年后出售，目前加工工作正在进行，今年的价格偏低，统货在6-7元之间。（信息由云南省玉溪市江川县商家陆先生13887723718提供）"
云南省玉溪市江川县余甘子肉货源不多,2025-12-24 13:25,余甘子,"【天地网讯】

云南省玉溪市江川县余甘子肉目前货源不多，近期走动一般，行情稳定运行，现统货价格在11元上下。（信息由云南省玉溪市江川县商家陆先生13887723718提供）"
湖北省黄冈市蕲春县水栀子行情一般,2025-12-24 13:24,水栀,"【天地网讯】

湖北省黄冈市蕲春县水栀子近期货源走动不是很快，产地货源有量，近期行情表现一般，现统货价格在26元左右，该品前两年大量种植，去年和今年的挂果率还不高，明年开始则会继续增多。（信息由湖北省黄冈市蕲春县商家邓老板提供）"
湖北省黄冈市蕲春县栀子货源不多,2025-12-24 13:23,栀子,"【天地网讯】

湖北省黄冈市蕲春县栀子野生家种均有，今年的产量比去年稍多，现产地货量不大，近期价格稳定，现野生后期货在21元左右，当地距离江西不远，江西货在23-24元之间。（信息由湖北省黄冈市蕲春县商家邓老板提供）"
浙江省金华市磐安县浙八味市场浙贝母交易仍旺,2025-12-24 11:47,浙贝母,"【天地网讯】

浙江省金华市磐安县浙八味市场今天逢集，货源上市量依然较大，商家继续收购，交易良好，行情依然较旺，中统片价格继续稳定在80元左右。（信息由浙江省金华市磐安县商家陈先生提供）"
浙江省金华市磐安县浙八味市场覆盆子行情平淡,2025-12-24 11:46,覆盆子,"【天地网讯】

浙江省金华市磐安县浙八味市场覆盆子货源供应有量，但是近期商家的采购积极性依然一般，行情继续平淡运行，现统货价格在80元左右，选货90元。（信息由浙江省金华市磐安县商家陈先生提供）"
浙江省金华市磐安县延胡索行情由升转稳,2025-12-24 11:46,延胡索,"【天地网讯】

浙江省金华市磐安县延胡索前段时间行情上涨，今天当地交易市场逢集，行情由升转稳，目前本地统个价格在60-62元之间，选货68元上下。（信息由浙江省金华市磐安县商家陈先生提供）"
山东省济宁市汶上县酸枣仁要价坚挺,2025-12-24 11:41,酸枣仁,"【天地网讯】

山东省济宁市汶上县酸枣仁受加工成本支撑以及价涨影响，加工户与产地商贩暂表露惜售心理，要价坚挺，现产地98饮片货售价在295元左右，95货售价在270-280元之间不等。（本信息由山东省济宁市汶上县商家李如义13853733519提供）"
山东省济宁市汶上县柏子仁行情平稳,2025-12-24 11:38,柏子仁,"【天地网讯】

山东省济宁市汶上县柏子仁近两日一般为商家按计划购进，行情平稳运行，目前产地合格货售价在110元左右，一般货报价维持在90-100元之间不等。（本信息由山东省济宁市汶上县商家李如义13853733519提供）"
山东省济宁市汶上县芡实处于平缓走动,2025-12-24 11:37,芡实,"【天地网讯】

山东省济宁市汶上县芡实近两日行情依然比较稳定，货源处于平缓走动，现产地两瓣10厘货价格在25元左右，四六瓣货报价在16-18元之间不等，其该品还在持续产新。（本信息由山东省济宁市汶上县商家李如义13853733519提供）"
湖南省湘西龙山县百合价格再次升高,2025-12-24 11:36,百合,"【天地网讯】

湖南省湘西龙山县百合虽然价格再次升高，但近日走动并不快，目前产地干百合统货售价在90-95之间不等，选货售价在100-110元之间不等。（本信息由湖南龙山县翟孝龙18692583272提供）"
四川省成都市彭州市敖平镇川芎快讯信息,2025-12-24 11:21,川芎,"【天地网讯】

今日行情,四川省成都市彭州市的川芎(统货)价格为14.4元公斤,走势加快,货源不丰。近期冻库晒货在14到14.5好货不好寻，想出的都出了，不出的价格不合适不出，去年冻库晒货在13.2到13.6，炕货在13块多"
安徽省亳州市谯城区白术整体价格稳定,2025-12-24 10:00,白术,"【天地网讯】

安徽省亳州市谯城区白术最新行情：一年白术牙统货10-13元，选货16元，一年白术牙价格稳定，好货少；二年白术统货价格22-25元，好选货33元，二年白术好货少，走动加快，好货难求。（本信息由安徽省亳州市谯城区白术商家 李亚东 19305677779 提供）"
地黄鲜货今年产量明显减产,2025-12-24 09:56,地黄,"【天地网讯】

今日行情，河南省焦作市武陟县，地黄（陈货一级）价格为17元/公斤，（陈货二级）价格为14.5元/公斤，（陈货三级）价格为11.5元/公斤，（新货一级）价格为16元/公斤，（新货二级）价格为14元/公斤，（新货三级）价格为11元/公斤，走势畅快，货源正常。
（本信息由产地代购代销商家葛冬彬15893003106提供）"
甘肃省定西市岷县当归城2025年12月24日当归价趋于稳定,2025-12-24 09:52,当归,"【天地网讯】

甘肃省定西市岷县当归城2025年12月24日，当归价趋于稳定，走货一般，目前中国当归城当归价格：个子80-100头价格32元左右，60-80头价格35-42元，40-60头价格45-58元，20-10头价格62元，5-10头65元，当归机切片：保农残55-60元左右，含农残37-52元，一棵树切片55元左右。当归股片：保农残从小到大22-65元，当归机切头片毛头片90-100元（不过筛），过筛1cm115元上下，去皮选装170-180元，出口标准箱归一条龙（一等，特等，十支归，五支归）价90一98元，鲜当归产新已结束了。以上信息仅供参考。（本信息由 中药材天地网岷县站 杨俊民 13993205558 提供）"
云南省楚雄彝族自治州楚雄市茯苓行情比较稳定,2025-12-24 08:14,茯苓,"【天地网讯】

云南省楚雄市双柏县茯苓近段时间行情比较稳定，现一刀丁价格在17-18元之间，中心丁23.5元左右，乱坨10.5元上下，今年当地的产量不大。（信息来源云南乐融中药材种植有限公司张女士18808780226）"
十二月二十三日河北半夏资讯,2025-12-23 18:28,半夏,"【天地网讯】

今日行情，河北省保定市安国市的半夏供应充足，0.6以上统货上市量平稳，价格39-42元之间不等，0.8以上统货43-45元之间不等，0.6以下米珠 23-25元之间不等，6-8货33-35元之间不等。"
河北省保定市安国药市半夏走势缓慢,2025-12-23 17:56,半夏,"【天地网讯】

今日行情，河北省保定市安国药市半夏（0.6）价格为40元/左右，（0.6到0.8）价格为35元/左右，（0.6）价格为23元/左右，走势缓慢，货源充足，且该品上市量大，但交易量不大。"
江西省宜春市高安市金樱子走势稳定,2025-12-23 16:20,金樱子,"【天地网讯】

今日行情，江西省宜春市高安市金樱子供应有量，目前价格稳定，（统）价格为11元左右， 金樱子中晚价格为9元一公斤，晚期价格为11元一公斤。"
2025年当季贵州新薏仁米收货基本上已到中尾期 价格平稳,2025-12-23 15:47,薏苡仁,"【天地网讯】

2025年再过几天就结束了，我们将迎来新年2026年，2025年当季贵州新薏仁米收货基本上已到中尾期，因现在进入12月底，目前薏苡仁替代种植指标已经没有了，所以进不了中国，现价格一直比较平稳，目前价格是这几年价格比较便宜的一年，谷子也是历年的低价，现贵州95米出厂价9.8元/公斤，黑壳95米7.6元/公斤，以上不含税含运费，98米每吨上浮500元/吨。（贵州省俊之家薏苡科技有限公司 张先生 13906659028）"
山东省泰安市新泰市 白薇 走势畅快,2025-12-23 15:44,白薇,"【天地网讯】

今日行情，山东省泰安市新泰市，白薇（机选）价格为25元/公斤，走势畅快，货源充足。"
四川省眉山市彭山区川芎行情保持平稳,2025-12-23 15:35,川芎,"【天地网讯】

川芎，产地货源走动正常，现在一般常温炕货13.6元左右，冻库里优质晒货14.2元左右，阴干冻库晒货15.8元左右。（本信息由四川省眉山市彭山区商家盛万洪 13404063918 提供）"
四川省眉山市彭山区泽泻距离产新不远,2025-12-23 15:34,泽泻,"【天地网讯】

泽泻，月底开始产新了，由于库存有量，加上新货马上要上市了，现在常温库泽泻12.2元左右，陈货11.8元左右，冻库里优质晒货13.5元左右。（本信息由四川省眉山市彭山区商家谢东 15882086908 提供）"
江西省吉安市遂川县金樱子仍在产新,2025-12-23 14:04,金樱子,"【天地网讯】

江西省吉安市遂川县金樱子目前仍在产新之中，采收已经到了后期，现产地鲜货价格在4.5元上下，干货10元左右，走动一般。（信息由江西省吉安市遂川县商家胡先生13979630695提供）"
江西省九江市都昌县栀子近期价格稳定,2025-12-23 14:03,栀子,"【天地网讯】

江西省九江市都昌县栀子产新已经结束，现产地货源供应还有量，近期走动一般，行情在近来稳定运行，现色选货价格在25元左右，一般货20元上下。（信息由江西省九江市都昌县商家石先生提供）"
广东省湛江市遂溪县香附产新价低,2025-12-23 13:58,香附,"【天地网讯】

广东省湛江市遂溪县香附正值产新之中，今年的产量较好，但是由于市场今年消化情况一般，行情回落，目前产地刚烧出来七成干的新货价格在3.6-3.7元之间，抛光干燥后价格在5.5-5.6元，有商订货但价低种植的采挖积极性一般。（信息由广东省湛江市遂溪县商家陈先生13902573995提供）"
广东省湛江市遂溪县穿心莲行情继续在偏低位运行,2025-12-23 13:57,穿心莲,"【天地网讯】

广东省湛江市遂溪县穿心莲目前货源充足，近期商家购货量少，行情继续在偏低位运行，现统货价格在4.5-5元之间，持货商多亏本。（信息由广东省湛江市遂溪县商家陈先生13902573995提供）"
广东省湛江市遂溪县广藿香货源走动一般,2025-12-23 13:56,广藿香,"【天地网讯】

广东省湛江市遂溪县广藿香近期产新持续，产地货源充足，商家正常采购，货源走动一般，行情平淡运行，现产地收购价在4.8-5元之间，售出价6-6.5元。（信息由广东省湛江市遂溪县商家陈先生13902573995提供）"
广东省湛江市高良姜行情走平,2025-12-23 13:56,高良姜,"【天地网讯】

广东省湛江市遂溪县高良姜货源供应稳定，近期由于调料市场需求减弱，产地货源走动也较慢，行情在近期走平，现含硫货价格在12.5元左右，无硫货14.5元上下。（信息由广东省湛江市遂溪县商家陈先生13902573995提供）"
广东省湛江市遂溪县布渣叶行情没有变化,2025-12-23 13:55,布渣叶,"【天地网讯】

广东省湛江市遂溪县布渣叶货源供应有量，近期货源走动不快，行情相比前期没有变化，现统货价格在8.5元左右。（信息由广东省湛江市遂溪县商家陈先生13902573995提供）"
广东省湛江市遂溪县金沙牛货源不多行情继续在高位运行,2025-12-23 13:54,金沙牛,"【天地网讯】

广东省湛江市遂溪县金沙牛货源产出量一直不多，量小销势良好，近期行情继续在高位运行，现商家交给公司的价格在8600-8800元之间。（信息由广东省湛江市遂溪县商家陈先生13902573995提供）"
江西省樟树市栀子产新结束近期价稳,2025-12-23 13:53,栀子,"【天地网讯】

江西省樟树市栀子产新已经结束了，近期当地货源陆陆续续走出，价格暂时保持稳定运行，现一般统货价格在18元左右，色选货23元上下。（信息由江西省樟树市商家龚先生13607956411提供）"
河北省保定市安国市瓜蒌走动平稳,2025-12-23 13:43,瓜蒌,"【天地网讯】

河北省保定市安国市瓜蒌走动平稳，行情稳定，产地货源足，统货价格在25元左右。（本信息由河北省保定市安国市刘先生18631218941提供）"
安徽亳州五马集镇牡丹皮行情平稳,2025-12-23 13:24,牡丹皮,"【天地网讯】

牡丹皮，今年新货产量减少，但受大环境影响，商家对其关注度一般，行情平稳，当前五马集镇与其周边新货刮丹要价在90元以上100元左右（含潮），陈货刮丹皮因质量不等售价在60-100元以上。（本信息由安徽亳州五马集镇孙老板15056770014提供）"
安徽亳州五马集镇牡丹皮黑丹价格暂无明显变化,2025-12-23 13:23,牡丹皮,"【天地网讯】

黑丹皮，最近走动平稳，价格暂无明显变化，当前五马集镇与其周边能开片的小统新货售价在42-43元，陈货能开片的小统售价在40元左右，药厂货报价在35元左右。（本信息由安徽亳州五马集镇孙老板15056770014提供）"
安徽亳州十九里集镇知母行情平稳,2025-12-23 13:12,知母,"【天地网讯】

地产知母少量采挖，鲜货个子价格在2元左右，而切片销售还是以库存为主，行情平稳，十九里集镇与集镇周边长片药厂货售价在7-8元左右，饮片货报价在10-12元之间不等。（本信息由安徽亳州十九里集镇商家杜井峰13605688580提供）"
安徽亳州十九里集镇紫菀行情依然平稳,2025-12-23 13:10,紫菀,"【天地网讯】

地产紫菀少量采挖，近两集行情依然平稳，切好的片子一般价格在12-13元，切好的片子包检货价格在15-20元之间不等，而个子报价在7-10元之间不等。（本信息由安徽亳州十九里集镇商家杜井峰13605688580提供）"
安徽亳州十九里集镇白芍行情暂时转稳,2025-12-23 13:09,白芍,"【天地网讯】

白芍产新基本结束，并由于短时价格明显回升，近两日行情暂时转稳，十九里集镇一二级的优质货售价在80-90元之间不等，一般一二级货报价在60-80元之间不等，三四级报价在50元左右；而尾芍行情上涨幅度不大，陈货报价在20元左右。（本信息由安徽亳州十九里集镇商家杜井峰13605688580提供）"
安徽亳州十九里集镇白芍饮片行情止升有所转稳,2025-12-23 13:08,白芍,"【天地网讯】

受阴雨天气影响，白芍今天十九里集镇未有上货，现加工好的1.2-1.8的饮片价格在120-130元之间不等，1.0-1.6的饮片价格在100元左右，加工好的4-12饮片报价在40元左右，且10天左右大片上涨10至10元以上，小片上涨5-10元以内，目前行情有所转稳。（本信息由安徽亳州十九里集镇商家杜井峰13605688580提供）"
安徽产地桔梗持续产新，价格如预期触底起稳,2025-12-23 12:08,桔梗,"【天地网讯】

安徽产地近期桔梗持续产新中，价格如预期触底起稳。商家关注度有所增加，产地正在进行鲜货加工中，目前，内蒙产区鲜货基本结束，干货上货量有所减少。价格保持不变，目前内蒙带皮桔梗报价为10元左右每公斤，刮皮货为18~20元/公斤。甘肃货现已经产新，加工户正在积极加工中，鲜货价格从最初的4.4每公斤，持续上涨到5.6每公斤，高价的冲击再加上甘肃产区部分收购商掺杂一些外地品种的原因，致使加工甘肃货的加工户们热度稍减，现甘肃鲜货回落到每公斤5元。比起内蒙货的跌幅程度，甘肃品种的价格还是比较稳定。相对而言，现在的价格，或许是个入手内蒙货的好时机。种植户全部陷入严重亏损，虽说一年半载价格可能不会上涨，但是掉价的几率更是微乎其微，预估计明年秋后内蒙桔梗价格会稍有回暖。但想要回到每公斤25元左右的价格，估计还要3-5年的时间沉淀，后市值得持续关注。（该信息由安徽恩禾中药材有限公司 谢陆宇 13655650117提供）"
甘肃省张掖市民乐县王不留行走货正常,2025-12-23 12:02,王不留行,"【天地网讯】

甘肃省张掖市民乐县王不留行走货正常，价格稳定运行， 精选价格为5元每公斤，后市持续关注。（ 该信息由甘肃民乐县德正堂中药材种植专业合作社 韩军15379782810提供）"
甘肃省张掖市民乐县莱菔子走货一般,2025-12-23 12:01,莱菔子,"【天地网讯】

甘肃省张掖市民乐县产地莱菔子走货一般，价格平稳，精选货价格为9元每公斤，后市持续关注。（ 该信息由甘肃民乐县德正堂中药材种植专业合作社 韩军15379782810提供）"
甘肃张掖市民乐县板蓝根近期走货平稳,2025-12-23 11:57,板蓝根,"【天地网讯】

甘肃张掖市民乐县板蓝根近期走货平稳，价格平稳，目前药厂统货价格为9.5元每公斤， 精选节子货价格为17元每公斤， 后市持续关注产新情况。（ 该信息由甘肃民乐县德正堂中药材种植专业合作社 韩军15379782810提供）"
甘肃张掖民乐县大青叶走货一般,2025-12-23 11:55,大青叶,"【天地网讯】

甘肃张掖民乐县大青叶走货一般，价格平稳运行，产地货源充足，药厂统货价格为2.5-3元每公斤， 后市持续关注。（ 该信息由甘肃民乐县德正堂中药材种植专业合作社 韩军15379782810提供）"
山东省临沂市平邑县丹参走势稳定,2025-12-23 11:25,丹参,"【天地网讯】

山东省临沂市平邑县丹参供应有量，目前走势稳定，现产地打粉颗粒9元左右，异性片11元，统货价格为10元左右，0.3号筛-0.5号筛各类规格丹参片（色选片） 精品价格为14元左右，打粉小条16.5元左右。"
山东省临沂市平邑县 山楂货源供应稳定,2025-12-23 11:21,山楂,"【天地网讯】

山楂投料价格为5元左右，饮片级晒货6元左右，统货5元左右， 饮片烘干有籽货7块左右，山楂碎肉7元左右，花茶专用片7.5左右，地炕6.5元左右，饮片烘干无籽货16元左右，优质中心，山楂碎肉6.5-9元左右，联系电话15092989988"
湖北宜昌宜都市陈皮价格下滑,2025-12-23 11:19,陈皮,"【天地网讯】

湖北宜昌宜都市陈皮价格下滑，走动还可以 ，湖北宜都市柑桔今年是大年，果多销售有限，农户没卖完的桔子只有剥皮售卖，陈皮产量大于去年，但今年后期天气一直晴好，陈皮晒的都比较干，质量是近几年来最好的一年，价格也不高，现挑选好货6.5元/公斤左右，统货5.5元/公斤左右，二黄皮4元/公斤左右，精选陈皮丝7.5元/公斤左右，后期价格会根据出货情况会有所变化，值得持续关注。(信息由宜都市陈皮商家信息站张家清 15872651591报道）"
山东省临沂市平邑县 山楂行情平稳,2025-12-23 11:18,山楂,"【天地网讯】

山东省临沂市平邑县山楂投料价格为5元左右，饮片级晒货6元左右，统货5元左右， 饮片烘干有籽货7元左右，山楂碎肉7元左右，花茶专用片7.5元左右，地炕6.5元左右，饮片烘干无籽货16元左右，优质中心，山楂碎肉6.5-9元左右，联系电话15092989988"
陝西汉中产地近期川乌价格下滑,2025-12-23 11:07,川乌,"【天地网讯】

陝西汉中产地近期川乌价格下滑， 走货平稳， 产地货源一般，价格45元左右。（ 该信息由陕西产地商家李长军13891608032提供）"
陕西产地近期天葵子走货一般,2025-12-23 11:06,天葵子,"【天地网讯】

陕西产地近期天葵子走动一般， 产地货源还可以， 价格平稳运行，合格货价格75元每公斤左右。（ 该信息由陕西产地商家李长军13891608032提供）"
甘肃省定西市辖区近日甘草走货稍快,2025-12-23 10:49,甘草,"【天地网讯】

甘肃省定西市辖区近日甘草走货稍快，价格基本稳定，甘草含量、片型及颜色造成价格差别较大，甘草0.3~0.5筛丁4~9元/公斤，0.5~0.8筛的甘草片9~13元/公斤，0.8~1.2筛的甘草片14~24元/公斤，1.2~1.5筛圆片15~25元/公斤。（该信息由甘肃陇西县产地马强15255976662提供）"
甘肃省定西市黄芪近期成交量有所增加,2025-12-23 10:47,黄芪,"【天地网讯】

甘肃省定西市辖区黄芪近期成交量有所增加，价格稳定，黄芪0.3~0.5丁8~9.5元/公斤，0.5~0.8圆片12~13.5元/公斤，0.8~1.2圆片28~32元/公斤，指甲片0.4~0.6的12~15元/公斤，0.6~0.8的18~21元/公斤，0.8~1.0的33~38元/公斤，1.0~1.2的48~54元/公斤，1.2~1.5的55~60元/公斤。（该信息由甘肃陇西县产地马强15255976662提供）"
甘肃省定西市近日当归成交量一般,2025-12-23 10:46,当归,"【天地网讯】

甘肃省定西市近日当归成交量一般，外地客商较少走货缓慢，主要以本地商贩和加工户为主，药厂货31~37元/公斤，小条38~45元/公斤，中条46~50元/公斤，大条51~58元/公斤，特大条60元以上。（该信息由甘肃陇西县产地马强15255976662提供）"
甘肃省定西今年甘肃鲜党参全面结束,2025-12-23 10:45,党参,"【天地网讯】

甘肃省定西今年甘肃鲜党参全面结束，党参原装个子及饮片趋于稳定，药厂条货大约35元/公斤，今日小中条36~42元/公斤，(0.4筛段)价格70~80元/公斤，（0.3筛段）价格45~55元/公斤，(0.4筛片)价格大约为70~85元/公斤，(0.3筛片)55~65元/公斤，由于新货加工的品质不一，造成价格差別较大，随着干货上市量的变化，党参价格还会波动变化。（该信息由甘肃陇西县产地马强15255976662提供）"
宁夏中卫市海原县小茴香走动平稳,2025-12-23 10:15,小茴香,"【天地网讯】

宁夏中卫市海原县小茴香走动平稳，行情稳定，产地货源有量，2025年11月送检产品各指标准均符合2025版药典规定，其中挥发油指标检出含量2.3%（>=1.5药典规定），反式茴香脑指标检出含量2.9%（>=1.4药典规定）均明显高于药典规定含量，产品无黄曲霉素、重金属检出，除虫农药检出量远低于药典规定，真正打造绿色无污染高品质产品，欢迎有需要的客户洽谈。本地小茴香普货价格在每公斤11-14元之间。（本信息由宁夏中卫市海原县赵永国13519598889提供）"
安徽省阜阳市阜南县 夏天无 持续上涨,2025-12-23 10:10,夏天无,"【天地网讯】

今日行情，安徽省阜阳市阜南县，夏天无产地价格持续上涨，目前一般不够含量统货价46左右，够含量的60左右，因商家购货积极，价格短期内可能还会上行。（产地商家陈书玲：17754881336）"
陕西省汉中市城固县延胡索走动畅快,2025-12-23 09:07,延胡索,"【天地网讯】

陕西省汉中市城固县延胡索走动畅快，行情有所上扬，产地货源不多，统货价格在65元左右。（本信息由陕西省汉中市城固县梁刚15929420704提供）"
